branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00688934,33.04066467,-155.3929596,23.25961494,525.4374390,523.6527710,0.82568777,11.02227688,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00688934,33.04066467,-155.3929596,23.25961494,525.4374390,523.6527710,0.82568777,11.02227688,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90196991,32.87820053,-155.3954315,23.24736977,523.5697632,521.7802124,0.82415044,10.98288822,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98380089,32.96068192,-155.3729858,23.26993752,523.5875854,521.7930908,0.81986094,10.98353386,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98605728,-8.90841484,-169.4382324,8.41454506,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91339111,-72.91339111,20.87837410,-159.1216888,2844.010498,2844.010498,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77902985,-86.65215302,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932922,258.6969299,-93.09767151,93.86042023,-145.9630127,33.98200226,683.0802612,682.8430786,0.10363319,1.04373419,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12816620,93.89099121,-145.9570312,33.98799133,683.1057739,682.8684692,0.10364093,1.04381216,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860291,258.6970520,-93.05993652,93.83197021,-145.9698944,33.97550583,683.0314331,682.7960815,0.11101998,1.05098915,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938416,258.6974182,-92.84064484,93.60272980,-146.0134735,33.93149948,682.8654175,682.6287842,0.10356808,1.04307854,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894619,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344776,178.9114227,791.0541382,788.3572388,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894619,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32716370,89.48222351,8.33155823,8.18347359,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791229,-197.1674500,6.44062138,-6.38377905,11.92368698,-168.0601196,495.1768799,495.1814270,0.01167410,0.11284962,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684113,-197.1606293,6.44091606,-6.39830971,11.93622589,-168.0513611,495.1730347,495.1765747,0.00778259,0.08560854,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683655,-197.1605835,6.65419340,-6.62582159,12.00604439,-167.9853058,495.1927185,495.1952820,0.00778320,0.05837400,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683502,-197.1644592,6.76089954,-6.74387503,12.03927803,-167.9555511,495.2023926,495.2039490,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8494568,144.3529663,76.23270416,-74.84032440,162.1687775,-18.94554520,408.6652832,412.8536072,0.50351781,4.96554279,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0587769,145.5710602,76.97692871,-75.49970245,162.1369171,-18.96817970,412.2224121,416.4156189,0.51228333,5.05198574,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8642426,144.3677673,76.20877075,-74.81630707,162.1786652,-18.93576241,408.6699524,412.8568726,0.50352752,4.96563816,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.14474201,9.14474201,0.00395819,-0.00312193,-169.9348755,10.06518173,22.95528984,22.95528984,0.00000000,0.00083626,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605377,197.1644440,-7.11031628,6.74387598,-167.8446960,12.04450417,495.2375488,495.2038574,0.00389202,0.01556806,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605530,197.1605530,-6.87685108,6.62585115,-167.9124451,12.01476097,495.2167664,495.1952209,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606293,197.1606293,-6.58934116,6.39834118,-167.9958954,11.94871616,495.1923218,495.1765747,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635284,197.1674347,-6.75022030,6.38377905,-167.9492340,11.93994522,495.2132568,495.1813660,0.00389165,0.01556659,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24239349,-90.51783752,6.77487803,8.18347359,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.32074547,1.32555771,-6.04705000,-19.19700432,-87.19345856,-71.04590607,14.88616467,46.61281967,0.00481220,0.05071389,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.63696671,-47.45291138,-15.99995327,-1.08753967,-3.56168818,-161.3704376,121.7289047,114.6936874,0.18405510,1.93785238,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-39.09293747,39.34095383,-4.45894289,-19.67230797,-153.5136414,-9.16543102,94.84304047,106.2838364,0.24801795,1.78321970,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,43.20506287,-43.19876862,-4.84596968,4.08453226,10.91706276,-167.9996796,105.0538559,104.8487701,0.00629249,0.06414849,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.19999999,0.20000045,-0.80075896,0.63311607,-86.60327148,89.88895416,1.99215209,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80001068,-49.79739380,-9.85568523,9.68760300,6.20164347,-173.5887146,122.5357742,122.4478073,0.00261929,0.02119241,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80001068,-49.79739380,-9.84666348,9.68602276,6.21057892,-173.5869751,122.5319901,122.4470901,0.00261919,0.02214406,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,51.68961716,-51.32372284,-9.65054226,7.78358412,6.84471130,-167.6806183,126.9175186,126.4919205,0.36589366,3.18704796,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,51.68961716,-51.32372284,-9.65054226,7.78358412,6.84471130,-167.6806183,126.9175186,126.4919205,0.36589366,3.18704796,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-4.24653625,4.24785042,-0.96768105,-7.66406298,-149.7427826,-43.68562698,10.51249123,21.17349815,0.00131447,0.01141015,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-38.06288147,38.09949875,-8.19536495,4.39694595,-147.4945679,26.56259155,94.04386139,92.44696808,0.03661851,0.26224911,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,77.57244110,-102.1844482,8.30890179,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95424652,42.95459366,6.43781805,-6.46349716,-169.4061584,10.55723190,104.8353806,104.8454590,0.00034887,0.00244210,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47872353,-31.39773941,-9.99083328,-4.55912733,1.50914967,-151.3835602,79.71424866,76.63332367,0.08098704,0.67673469,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-48.23528671,48.47254944,29.84297943,-1.23178506,172.9745789,21.21246910,138.2344360,117.0929184,0.23726390,1.78402066,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-48.55863953,48.82019043,-0.88477433,-14.35534668,-156.2880402,3.96884036,117.2824783,122.9122849,0.26155171,1.96779072,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,39.67185211,-39.40884399,-38.56502533,-17.93659973,-19.47005844,-127.2490234,134.8385315,104.4721451,0.26300916,2.56339979,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,39.67185211,-39.40884399,-38.56502533,-17.93659973,-19.47005844,-127.2490234,134.8385315,104.4721451,0.26300916,2.56339979,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,15.63931561,-15.59713745,-14.34348106,-12.13036442,-17.80583382,-116.2535324,51.71737289,48.21709061,0.04217834,0.31310999,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,128.8429260,-124.5223999,-13.94652462,3.03543663,18.54154205,-140.1666565,315.8378296,308.2025452,4.32052374,36.63155365,1,
U91A-N,667029,667030,1,230.0000000,1039.983643,1199.884521,1039.983643,-56.98369598,57.09241104,41.68889618,1.15948617,172.0898743,28.42087555,170.3580627,137.2272034,0.10871359,1.04431856,1,
A4D,667029,667035,1,230.0000000,1179.049683,1199.884521,1179.049683,-84.31977081,85.12336731,-11.77341747,-21.14463425,-143.7725677,9.01839447,205.4223480,210.6906433,0.80359375,7.83752823,1,
